protocol,run_id_unique,source_run_id,test_date_iso,campaign_folder,raw_xml,control_csv,raw_xml_size_bytes
TMCA,2025_12_30_TMCA__B7F0SL_7,B7F0SL_7,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_7.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_7.csv,11775189
TMCA,2025_12_30_TMCA__B7F0SL_8,B7F0SL_8,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_8.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_8.csv,11781743
TMCA,2025_12_30_TMCA__B7F0SL_9,B7F0SL_9,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_9.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_9.csv,11784229
TMCA,2025_12_30_TMCA__B7F0SL_H_10,B7F0SL_H_10,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_H_10.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_H_10.csv,11787350
TMCA,2025_12_30_TMCA__B7F0SL_H_11,B7F0SL_H_11,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_H_11.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_H_11.csv,11793950
TMCA,2025_12_30_TMCA__B7F5SL_16,B7F5SL_16,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F5SL_16.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F5SL_16.csv,11771226
TMCA,2025_12_30_TMCA__B7F5SL_17,B7F5SL_17,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F5SL_17.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F5SL_17.csv,11791031
TMCA,2025_12_30_TMCA__B7F5SL_22,B7F5SL_22,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F5SL_22.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F5SL_22.csv,11783994
TMCA,2025_12_30_TMCA__B7F5SL_23,B7F5SL_23,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F5SL_23.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F5SL_23.csv,11780555
TMCA,2025_12_30_TMCA__B7FT7SL_14,B7FT7SL_14,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7FT7SL_14.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7FT7SL_14.csv,11775718
TMCA,2025_12_30_TMCA__B7FT7SL_15,B7FT7SL_15,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7FT7SL_15.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B7FT7SL_15.csv,11765860
TMCA,2026_2_22_TMCA__B6F0SL_4,B6F0SL_4,2026-02-22,2026_2_22_TMCA,raw_data/TMCA/2026_2_22_TMCA/B6F0SL_4.xml,data/control_csv/tmca_raw/2026_2_22_TMCA/B6F0SL_4.csv,11776823
