run_id,protocol,control_csv,test_date_iso,condition_id,material_category,base_material,filler_material,weld_process,current_a,voltage_v,heat_input_kj_mm,shielding_gas,preheat_c,spacer_mm,sheet_thickness_mm,k_factor,v_high_mm_s,v_step_mm_s,a_dec_mm_s2,weld_start_method,weld_start_time_s,manual_load_rise_time_s,manual_load_to_start_delay_s,fixed_start_time_s,load_rise_delta_n,load_baseline_window_s,weld_end_time_s,weld_travel_speed_mm_s,speed_transition_weld_length_mm,deceleration_start_weld_length_mm,l_weld_mm,l_crack_mm,l_surf_mm,l_ct_mm,l_star,v_nc_mm_s,crack_state,load_increase_acceptance,include_in_summary,show_temperature,temperature_columns,notes,source_run_id,campaign_folder,raw_xml
10_2025_TMW__B7F0PHSL3_23,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL3_23.csv,2025-10-23,AA7075_Autogenous_180A_90Cpreheat,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,90.0,,,,,0.07,,manifest,12.913377016129033,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0PHSL3_23,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL3_23.xml
10_2025_TMW__B7F0PHSL4_19,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL4_19.csv,2025-10-23,AA7075_Autogenous_180A_90Cpreheat,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,90.0,,,,,0.08,,manifest,13.210576903534722,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0PHSL4_19,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL4_19.xml
10_2025_TMW__B7F0PHSL5_20,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL5_20.csv,2025-10-23,AA7075_Autogenous_180A_90Cpreheat,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,90.0,,,,,0.1,,manifest,12.22419418655697,,,,,,,2.1,,,,,,,0.2300773896674337,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0PHSL5_20,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL5_20.xml
10_2025_TMW__B7F0PHSL6_22,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL6_22.csv,2025-10-23,AA7075_Autogenous_180A_90Cpreheat,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,90.0,,,,,0.105,,manifest,11.306158136056188,,,,,,,2.1,,,,,,,0.8205922633079632,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0PHSL6_22,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL6_22.xml
10_2025_TMW__B7F0PHSL6_24,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL6_24.csv,2025-10-23,AA7075_Autogenous_180A_90Cpreheat,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,90.0,,,,,0.105,,manifest,11.712438562938992,,,,,,,2.1,,,,,,,0.7894830850569786,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0PHSL6_24,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL6_24.xml
10_2025_TMW__B7F0PHSL7_21,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL7_21.csv,2025-10-23,AA7075_Autogenous_180A_90Cpreheat,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,90.0,,,,,0.11,,manifest,12.38710723692768,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0PHSL7_21,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL7_21.xml
10_2025_TMW__B7F0PHSL8_25,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL8_25.csv,2025-10-23,AA7075_Autogenous_180A_90Cpreheat,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,90.0,,,,,0.115,,manifest,10.649518677646979,,,,,,,2.1,,,,,,,0.9172117887036642,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0PHSL8_25,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL8_25.xml
10_2025_TMW__B7F0PHSL9_3,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL9_3.csv,,AA7075_Autogenous_180A_90Cpreheat,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,90.0,,,,,0.13,,manifest,11.591268931695499,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0PHSL9_3,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL9_3.xml
10_2025_TMW__B7FT7SL2_6,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL2_6.csv,2025-10-24,AA7075_7075TiC_180A,Aluminum alloy,AA7075,7075TiC,GTAW,180,,,Ar,,,,,,0.07,,manifest,11.28004983568142,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7FT7SL2_6,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL2_6.xml
10_2025_TMW__B7FT7SL3_7,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL3_7.csv,2025-10-24,AA7075_7075TiC_180A,Aluminum alloy,AA7075,7075TiC,GTAW,180,,,Ar,,,,,,0.1,,manifest,10.896854554175341,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7FT7SL3_7,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL3_7.xml
